Features,Importance
eog_kurt_c7min_norm,2943.0
eog_abspow_c7min_norm,2573.0
eog_std_p2min_norm,2177.0
eeg_fdelta_c7min_norm,2063.0
eeg_abspow,1225.0
eog_hcomp_c7min_norm,1048.0
eog_iqr_c7min_norm,1011.0
eeg_higuchi_c7min_norm,998.0
eog_std_c7min_norm,900.0
eeg_iqr_c7min_norm,881.0
eog_iqr,848.0
eeg_std,828.0
eog_perm_p2min_norm,794.0
eeg_at_c7min_norm,613.0
eeg_ds_c7min_norm,603.0
eog_petrosian_p2min_norm,597.0
eeg_fdelta,567.0
eeg_db,561.0
eeg_petrosian,551.0
eeg_abspow_c7min_norm,533.0
emg_iqr,447.0
eeg_perm,423.0
eog_std,400.0
eog_petrosian,374.0
eog_petrosian_c7min_norm,338.0
eog_abspow_p2min_norm,335.0
eeg_iqr,331.0
eeg_sigma_c7min_norm,325.0
eeg_fdelta_p2min_norm,318.0
eeg_at,316.0
eeg_higuchi,310.0
eeg_perm_c7min_norm,226.0
eog_perm_c7min_norm,221.0
emg_abspow,193.0
eeg_iqr_p2min_norm,177.0
eeg_std_p2min_norm,163.0
eeg_beta,152.0
eeg_alpha,149.0
time_norm,143.0
eog_beta_c7min_norm,143.0
eeg_theta_c7min_norm,137.0
emg_skew_c7min_norm,136.0
eeg_db_c7min_norm,125.0
eeg_at_p2min_norm,123.0
emg_higuchi_c7min_norm,121.0
eog_sdelta_p2min_norm,121.0
eog_perm,116.0
eog_theta_c7min_norm,115.0
eeg_sigma_p2min_norm,109.0
eeg_sigma,106.0
eeg_dt,104.0
eog_abspow,103.0
eeg_beta_c7min_norm,101.0
eeg_hcomp_c7min_norm,97.0
eeg_higuchi_p2min_norm,93.0
eeg_dt_c7min_norm,91.0
eog_beta_p2min_norm,89.0
eog_fdelta,87.0
eeg_ds_p2min_norm,85.0
eog_hmob_c7min_norm,84.0
eeg_abspow_p2min_norm,83.0
emg_std,83.0
emg_skew_p2min_norm,81.0
emg_kurt,79.0
eog_sigma_c7min_norm,79.0
eog_fdelta_c7min_norm,78.0
eeg_db_p2min_norm,74.0
eeg_kurt_c7min_norm,68.0
eeg_skew_c7min_norm,66.0
eog_kurt_p2min_norm,66.0
eeg_hcomp_p2min_norm,65.0
eeg_alpha_c7min_norm,62.0
emg_kurt_c7min_norm,62.0
eog_hcomp_p2min_norm,62.0
eeg_ds,61.0
time_hour,61.0
eog_alpha_c7min_norm,61.0
eog_theta,60.0
eog_sdelta_c7min_norm,60.0
eog_higuchi,58.0
emg_iqr_p2min_norm,58.0
eeg_beta_p2min_norm,57.0
eeg_skew_p2min_norm,57.0
emg_hcomp_p2min_norm,57.0
eeg_hmob_c7min_norm,56.0
eog_alpha,55.0
eog_alpha_p2min_norm,54.0
emg_hcomp,53.0
eeg_sdelta,52.0
emg_petrosian,50.0
eeg_hcomp,49.0
emg_nzc,49.0
eeg_std_c7min_norm,47.0
emg_std_p2min_norm,46.0
eog_skew_c7min_norm,46.0
eog_higuchi_c7min_norm,46.0
eog_sdelta,45.0
eeg_skew,45.0
emg_hmob,44.0
eeg_petrosian_c7min_norm,43.0
eog_hmob,40.0
eeg_dt_p2min_norm,40.0
eeg_nzc_c7min_norm,37.0
eeg_hmob_p2min_norm,36.0
emg_hcomp_c7min_norm,36.0
eeg_sdelta_p2min_norm,36.0
eeg_alpha_p2min_norm,36.0
emg_higuchi,36.0
eeg_kurt,35.0
eog_iqr_p2min_norm,35.0
emg_kurt_p2min_norm,32.0
eog_beta,31.0
eog_theta_p2min_norm,30.0
eeg_nzc_p2min_norm,30.0
eeg_sdelta_c7min_norm,28.0
eog_hmob_p2min_norm,26.0
eeg_kurt_p2min_norm,26.0
eog_skew_p2min_norm,26.0
emg_abspow_p2min_norm,26.0
emg_perm_p2min_norm,25.0
eog_kurt,25.0
eeg_hmob,25.0
emg_perm_c7min_norm,23.0
emg_higuchi_p2min_norm,23.0
emg_hmob_c7min_norm,22.0
emg_std_c7min_norm,22.0
emg_hmob_p2min_norm,21.0
eog_sigma,21.0
emg_iqr_c7min_norm,20.0
eog_skew,19.0
emg_nzc_p2min_norm,19.0
emg_petrosian_p2min_norm,19.0
eeg_petrosian_p2min_norm,19.0
emg_perm,18.0
eeg_theta,16.0
eeg_theta_p2min_norm,15.0
eog_higuchi_p2min_norm,14.0
eog_nzc,14.0
emg_abspow_c7min_norm,14.0
eog_hcomp,13.0
eog_fdelta_p2min_norm,12.0
eeg_nzc,12.0
emg_skew,11.0
emg_petrosian_c7min_norm,10.0
eeg_perm_p2min_norm,9.0
eog_nzc_p2min_norm,7.0
emg_nzc_c7min_norm,7.0
eog_nzc_c7min_norm,4.0
eog_sigma_p2min_norm,4.0
age,0.0
male,0.0
