Features,Importance
eog_alpha,34138169781.0
eeg_beta_p2min_norm,16835380455.0
eog_std,11510316230.0
eog_abspow,10122061181.0
eog_hcomp,5019550890.0
eog_fdelta,4742362383.0
eeg_higuchi,4423427935.0
eog_theta,3053526110.0
eog_abspow_p2min_norm,2966993953.0
eeg_higuchi_c7min_norm,2840809969.0
eeg_skew_p2min_norm,2344871734.0
eeg_nzc_p2min_norm,2218926435.0
eog_sigma,1740141942.0
eog_higuchi_c7min_norm,1667755561.0
eeg_skew_c7min_norm,1482734194.0
emg_petrosian,1388188919.0
eog_sigma_p2min_norm,1362220144.0
eog_theta_p2min_norm,1329759696.0
eog_skew_p2min_norm,1202170991.0
eog_nzc,1162088315.0
age,1154354824.0
emg_kurt,1033850407.0
eog_iqr_c7min_norm,897890320.0
emg_skew_p2min_norm,824629834.0
eog_iqr,812600941.0
eeg_alpha_c7min_norm,739859537.0
eeg_alpha,665643334.0
eeg_theta_p2min_norm,638012414.0
eeg_iqr,631606287.0
eeg_abspow,519544795.0
eeg_beta,499061514.0
eeg_hmob_c7min_norm,476255907.0
eeg_dt_c7min_norm,456555659.0
eeg_db_p2min_norm,438055856.0
eeg_std_c7min_norm,416403588.0
eeg_sdelta_p2min_norm,398983362.0
eeg_kurt,397405790.0
eeg_ds_p2min_norm,395319114.0
emg_petrosian_c7min_norm,337677682.0
eeg_std,331851673.0
eeg_perm_c7min_norm,330036239.0
eog_higuchi,324724163.0
eeg_nzc_c7min_norm,317559602.0
eog_alpha_p2min_norm,309096745.0
emg_higuchi,295544092.0
emg_abspow_p2min_norm,292413922.0
eog_petrosian_c7min_norm,285175345.0
eeg_perm_p2min_norm,271479784.0
eog_perm,265159070.0
emg_kurt_p2min_norm,257957575.0
eog_hcomp_c7min_norm,255357337.0
time_hour,247874928.0
eeg_sdelta_c7min_norm,245854691.0
time_norm,234766994.0
eeg_std_p2min_norm,232016653.0
emg_petrosian_p2min_norm,219787816.0
eeg_fdelta_c7min_norm,212912178.0
eeg_alpha_p2min_norm,210012998.0
eeg_hmob,208173187.0
eeg_iqr_c7min_norm,182890391.0
eeg_higuchi_p2min_norm,182567510.0
eog_kurt_p2min_norm,179933070.0
emg_std,179342192.0
eeg_beta_c7min_norm,173605191.0
eeg_kurt_p2min_norm,168347148.0
emg_abspow,156221009.0
eog_std_c7min_norm,154606961.0
emg_iqr_p2min_norm,153253473.0
eog_sdelta,152474088.0
eeg_ds_c7min_norm,150057997.0
emg_nzc_p2min_norm,147734310.0
eeg_at_p2min_norm,146848325.0
eog_sdelta_p2min_norm,136377530.0
emg_higuchi_p2min_norm,127357890.0
eog_fdelta_c7min_norm,125047128.0
eog_std_p2min_norm,119401822.0
emg_iqr,114271778.0
eog_hmob_p2min_norm,111870436.0
eeg_petrosian,106198297.0
eog_fdelta_p2min_norm,104004900.0
eeg_perm,102520795.0
emg_std_p2min_norm,101441015.0
eeg_petrosian_c7min_norm,100518061.0
eeg_fdelta,99491295.0
eeg_hcomp_p2min_norm,99225363.0
eeg_theta_c7min_norm,91976285.0
eog_beta,91451034.0
eeg_kurt_c7min_norm,91398941.0
eeg_nzc,90076757.0
eeg_db,89718930.0
eog_kurt,87121997.0
eeg_theta,85986235.0
eog_abspow_c7min_norm,83079382.0
emg_skew,82838337.0
eeg_hcomp,81267392.0
eeg_at,64600430.0
eog_petrosian_p2min_norm,63142026.0
eeg_sdelta,62762576.0
eeg_abspow_p2min_norm,60113824.0
eog_higuchi_p2min_norm,59915506.0
emg_kurt_c7min_norm,58303812.0
eeg_dt_p2min_norm,57290287.0
eog_skew,56433593.0
eeg_hmob_p2min_norm,55769373.0
eog_skew_c7min_norm,53833264.0
eog_perm_p2min_norm,53542534.0
eeg_iqr_p2min_norm,52382237.0
eog_alpha_c7min_norm,49906341.0
emg_perm,49629345.0
emg_nzc_c7min_norm,46610996.0
eeg_skew,46086593.0
eog_kurt_c7min_norm,46077265.0
eeg_sigma_p2min_norm,43365482.0
eeg_ds,40847076.0
eeg_petrosian_p2min_norm,37603675.0
eog_perm_c7min_norm,35389955.0
emg_hcomp,34340058.0
eeg_abspow_c7min_norm,33409827.0
emg_abspow_c7min_norm,32542448.0
eog_sigma_c7min_norm,31916722.0
eog_beta_c7min_norm,31624926.0
eeg_sigma,31432922.0
emg_nzc,30868274.0
emg_hmob_c7min_norm,29745894.0
eog_hmob,28598277.0
eog_hcomp_p2min_norm,27895636.0
eeg_db_c7min_norm,27507515.0
eog_beta_p2min_norm,26430935.0
eeg_hcomp_c7min_norm,26212405.0
eog_sdelta_c7min_norm,23643339.0
eeg_dt,23097526.0
eog_iqr_p2min_norm,22328152.0
emg_iqr_c7min_norm,21479106.0
eeg_sigma_c7min_norm,20936399.0
emg_hcomp_c7min_norm,20529061.0
eeg_at_c7min_norm,19232091.0
emg_hcomp_p2min_norm,17184282.0
emg_higuchi_c7min_norm,17054963.0
eeg_fdelta_p2min_norm,15541209.0
eog_nzc_c7min_norm,15486501.0
eog_hmob_c7min_norm,13140874.0
eog_petrosian,10852107.0
emg_std_c7min_norm,9354824.0
emg_hmob_p2min_norm,9130372.0
emg_perm_c7min_norm,8911037.0
eog_nzc_p2min_norm,8677469.0
emg_perm_p2min_norm,8435005.0
eog_theta_c7min_norm,6414097.0
emg_skew_c7min_norm,5836107.0
emg_hmob,5364984.0
male,1514997.0
