Features,Importance
emg_hcomp_c7min_norm,14553731233646.0
eog_kurt,1963560370014.0
ECG_CVI,211562662378.0
ECG_rangeNN,193899917183.0
ECG_cvNN,174252212093.0
ECG_total_power,153918548334.0
ECG_SD2,132372283407.0
ECG_S,122603295889.0
eog_std,118027096668.0
emg_higuchi_p2min_norm,110060625897.0
eeg_petrosian,93099529190.0
ECG_stdHR,86705051470.0
ECG_SDNN,82970292792.0
ECG_hf,68160995427.0
eeg_skew_c7min_norm,64261866841.0
eeg_nzc,62486564487.0
emg_abspow_c7min_norm,62270778477.0
ECG_minNN,60337689711.0
eog_fdelta_c7min_norm,57985441700.0
ECG_NN50,55927518286.0
emg_petrosian_p2min_norm,52582026880.0
eog_beta_p2min_norm,52511866344.0
eeg_beta,51689927126.0
eeg_perm,44466653638.0
eeg_perm_p2min_norm,37161381262.0
eog_skew_c7min_norm,33001744112.0
emg_higuchi_c7min_norm,31510811526.0
eeg_hmob_c7min_norm,28783808007.0
emg_iqr_p2min_norm,28592024600.0
eeg_abspow_c7min_norm,28038206130.0
eog_abspow_c7min_norm,27924592150.0
ECG_SDSD,25141715088.0
eeg_alpha,21576921112.0
eeg_std,21474055346.0
eeg_iqr_c7min_norm,20690951479.0
ECG_RMSSD,20400716092.0
ECG_hf_norm,20274182574.0
ECG_vlf,20092967554.0
eeg_db,19348773600.0
eog_std_c7min_norm,19256135933.0
eog_abspow,17159471203.0
eeg_fdelta,16870998955.0
eeg_hcomp,16442478447.0
ECG_lf,16315437574.0
age,15836621114.0
ECG_maxHR,15621670323.0
eeg_db_c7min_norm,15007594513.0
ECG_lf_norm,14904912553.0
eog_perm_c7min_norm,14468173762.0
emg_petrosian_c7min_norm,13390109128.0
eeg_iqr,12152277028.0
eog_kurt_c7min_norm,12085981930.0
emg_std_p2min_norm,11578090938.0
eeg_theta,11468883572.0
eog_iqr,11411199067.0
eeg_hmob,11062019898.0
ECG_CSI,11052433023.0
eeg_hcomp_p2min_norm,10521332577.0
eeg_abspow,10431410595.0
eog_beta_c7min_norm,10262185618.0
eeg_petrosian_c7min_norm,10253494311.0
eeg_sigma,10131003189.0
eeg_fdelta_c7min_norm,9879039689.0
ECG_medianNN,9690151277.0
emg_kurt_p2min_norm,9621578140.0
eeg_higuchi,9434046871.0
eeg_abspow_p2min_norm,9021099574.0
eeg_ds_p2min_norm,8785167574.0
eeg_kurt_c7min_norm,8541345887.0
eog_hcomp_p2min_norm,8241637487.0
eeg_hcomp_c7min_norm,7810047034.0
emg_perm,7712806384.0
eeg_perm_c7min_norm,7651055275.0
eog_skew_p2min_norm,7589414917.0
eeg_theta_c7min_norm,7569328028.0
eeg_higuchi_c7min_norm,7235411819.0
eog_fdelta_p2min_norm,7179196764.0
eeg_dt,6859180465.0
emg_iqr,6857836603.0
eeg_sdelta_p2min_norm,6808885316.0
ECG_SD1_SD2_ratio,6492184255.0
emg_std,6202022757.0
eeg_sdelta_c7min_norm,6098504701.0
ECG_iqrNN,6054652189.0
emg_perm_c7min_norm,6022310761.0
eog_hcomp_c7min_norm,5943854418.0
emg_hcomp,5920184201.0
eog_higuchi,5806121331.0
eog_petrosian,5783027061.0
emg_nzc_c7min_norm,5773814410.0
emg_iqr_c7min_norm,5523730419.0
emg_petrosian,5506613393.0
eeg_ds,5444156040.0
eog_std_p2min_norm,5379175259.0
ECG_SD1,5266467381.0
emg_nzc,5212887171.0
eeg_beta_c7min_norm,5080505724.0
eog_theta_p2min_norm,5039011095.0
eog_fdelta,5009930877.0
eeg_higuchi_p2min_norm,4915048348.0
eeg_kurt_p2min_norm,4859341212.0
emg_hmob_p2min_norm,4835335251.0
eog_petrosian_p2min_norm,4830870446.0
emg_abspow,4629224027.0
eog_petrosian_c7min_norm,4338940275.0
eeg_beta_p2min_norm,4308780996.0
eog_sdelta_c7min_norm,4211153088.0
eog_beta,3804048498.0
eog_sdelta_p2min_norm,3787387630.0
eog_alpha_p2min_norm,3538691467.0
emg_hmob,3488108021.0
emg_skew,3366034528.0
eog_nzc_c7min_norm,3359128226.0
eeg_fdelta_p2min_norm,3277828482.0
eeg_iqr_p2min_norm,3226550151.0
eeg_theta_p2min_norm,3161494917.0
time_norm,3110524274.0
eeg_alpha_p2min_norm,3104487871.0
emg_hcomp_p2min_norm,3070580116.0
time_hour,3038422134.0
eog_abspow_p2min_norm,3007821951.0
eeg_alpha_c7min_norm,2902732550.0
eog_alpha_c7min_norm,2884922051.0
eeg_nzc_c7min_norm,2850037837.0
ECG_pNN50,2780693918.0
eeg_std_p2min_norm,2725039478.0
ECG_pNN20,2671066253.0
ECG_lf_hf_ratio,2640335062.0
eog_theta_c7min_norm,2611940917.0
emg_kurt_c7min_norm,2607585891.0
eog_sigma,2604492406.0
ECG_meanNN,2599788096.0
eeg_ds_c7min_norm,2496436023.0
eog_skew,2468961379.0
eeg_sdelta,2459493402.0
eeg_kurt,2413691662.0
emg_higuchi,2389809022.0
eeg_std_c7min_norm,2284219431.0
emg_std_c7min_norm,2223970714.0
emg_hmob_c7min_norm,2150793000.0
eog_iqr_c7min_norm,2107504087.0
eog_theta,2069127152.0
ECG_NN20,1791581568.0
eeg_sigma_c7min_norm,1768862914.0
eog_perm,1697758731.0
eog_alpha,1625481827.0
eog_hcomp,1602593657.0
eog_higuchi_p2min_norm,1580769180.0
eeg_nzc_p2min_norm,1503811623.0
ECG_minHR,1491808942.0
eog_sdelta,1489412099.0
eeg_db_p2min_norm,1457072332.0
eeg_petrosian_p2min_norm,1408448684.0
eeg_skew,1321612286.0
eeg_hmob_p2min_norm,1316945910.0
ECG_maxNN,1279159565.0
eeg_dt_p2min_norm,1230181663.0
eeg_at_c7min_norm,1162418320.0
ECG_madNN,1118482627.0
eog_sigma_p2min_norm,1109088057.0
eog_sigma_c7min_norm,1099828256.0
eog_perm_p2min_norm,1060964834.0
eog_higuchi_c7min_norm,1034466156.0
eeg_at,946086454.0
emg_nzc_p2min_norm,944382188.0
eeg_dt_c7min_norm,822519053.0
emg_perm_p2min_norm,782081703.0
eog_hmob,770236459.0
eeg_sigma_p2min_norm,678134856.0
eog_kurt_p2min_norm,671650723.0
emg_abspow_p2min_norm,625851359.0
eog_hmob_c7min_norm,585338084.0
male,570488088.0
eog_iqr_p2min_norm,448510881.0
eeg_at_p2min_norm,429055067.0
eog_nzc,428652680.0
eog_nzc_p2min_norm,401115849.0
eeg_skew_p2min_norm,358427650.0
emg_kurt,353643407.0
ECG_meanHR,349087677.0
ECG_cvSD,254214460.0
emg_skew_p2min_norm,169610274.0
eog_hmob_p2min_norm,151005227.0
emg_skew_c7min_norm,101278218.0
